((1; 2; 3); (4; 5; 6); (7; 9; 8))
((1; 9; 3); (5; 7; 2); (8; 6; 4))
((2; 8; 3); (4; 6; 5); (1; 9; 7))
((3; 7; 9); (2; 5; 6); (1; 8; 4))
((4; 6; 9); (1; 2; 5); (8; 3; 7))
((5; 4; 3); (7; 2; 9); (8; 1; 6))
((6; 8; 2); (9; 7; 5); (3; 1; 4))
((7; 9; 3); (4; 6; 1); (8; 5; 2))
((8; 1; 3); (7; 5; 2); (6; 4; 9))
((9; 8; 7); (6; 5; 4); (3; 2; 1))
((8; 2; 4); (1; 5; 6); (3; 9; 7))
((7; 3; 9); (4; 5; 6); (2; 1; 8))
((6; 4; 9); (7; 5; 8); (3; 2; 1))
((5; 2; 3); (4; 1; 6); (8; 9; 7))
((4; 6; 3); (1; 2; 5); (7; 8; 9))
((3; 7; 1); (4; 9; 6); (5; 2; 8))
((2; 8; 3); (1; 5; 6); (4; 9; 7))
((1; 7; 3); (2; 5; 6); (8; 4; 9))
((6; 7; 9); (4; 5; 1); (8; 3; 2))
((4; 2; 7); (3; 8; 9); (5; 6; 1))
((2; 1; 6); (4; 5; 3); (8; 7; 9))
